,House Name,House Letter,Sample Number,Sample Date,Sample Time,Copper Result,Iron Result,Lead Result,Chloride Result
80,32,ci,S05ci,2016-02-18,16:50,130.0,594.0,119.0,9950.0
81,32,ci,S06ci,2016-02-18,16:50,126.0,476.0,112.0,9950.0
82,32,ci,S07ci,2016-02-18,16:50,91.6,344.0,81.7,9950.0
83,32,ci,S08ci,2016-02-18,16:50,63.2,240.0,55.8,9950.0
84,32,ci,S09ci,2016-02-18,16:50,49.8,188.0,54.4,9950.0
85,32,ci,S10ci,2016-02-18,16:50,37.4,143.0,34.4,9950.0
86,32,ci,S11ci,2016-02-18,16:50,30.3,140.0,29.8,9950.0
87,32,ci,S12ci,2016-02-18,16:50,28.2,113.0,27.4,9950.0
88,32,ci,S13ci,2016-02-18,16:50,23.8,99.5,23.1,9950.0
89,32,ci,S14ci,2016-02-18,16:50,22.8,89.0,20.4,9950.0
90,37,ad,DS03ad,2016-02-08,13:15,7.9,100.0,0.5,9920.0
91,37,ad,S01ad,2016-02-08,13:07,97.0,100.0,0.5,9920.0
92,37,ad,S02ad,2016-02-08,13:07,200.0,100.0,2.8,9920.0
93,37,ad,S03ad,2016-02-08,13:07,240.0,100.0,3.9,9920.0
94,37,ad,S04ad,2016-02-08,13:07,120.0,100.0,3.0,9920.0
95,37,ad,S05ad,2016-02-08,13:07,79.0,100.0,2.1,9920.0
96,37,ad,S06ad,2016-02-08,13:07,61.0,100.0,1.5,9920.0
97,37,ad,S07ad,2016-02-08,13:07,54.0,100.0,1.3,9920.0
98,37,ad,S08ad,2016-02-08,13:07,38.0,100.0,1.2,9920.0
99,37,ad,S09ad,2016-02-08,13:07,34.0,100.0,0.88,9920.0
100,37,ad,S10ad,2016-02-08,13:07,31.0,100.0,0.82,9920.0
101,37,ad,S11ad,2016-02-08,13:07,31.0,100.0,0.64,9920.0
102,37,ad,S12ad,2016-02-08,13:07,22.0,100.0,0.62,9920.0
103,37,ad,S13ad,2016-02-08,13:07,17.0,100.0,0.5,9920.0
104,37,ad,S14ad,2016-02-08,13:07,16.0,100.0,0.54,9920.0
105,38,bg,DS03bg,2016-02-12,15:41,7.0,80.7,0.5,9800.0
106,38,bg,S01bg,2016-02-12,15:32,127.0,80.0,10.7,9800.0
107,38,bg,S02bg,2016-02-12,15:32,167.0,80.0,11.6,9800.0
108,38,bg,S03bg,2016-02-12,15:32,395.0,457.0,173.0,9800.0
109,38,bg,S04bg,2016-02-12,15:32,297.0,328.0,136.0,9800.0
110,38,bg,S05bg,2016-02-12,15:32,188.0,174.0,48.9,9800.0
111,38,bg,S06bg,2016-02-12,15:32,212.0,124.0,37.8,9800.0
112,38,bg,S07bg,2016-02-12,15:32,114.0,102.0,27.5,9800.0
113,38,bg,S08bg,2016-02-12,15:32,75.4,80.0,15.0,9800.0
114,38,bg,S09bg,2016-02-12,15:32,41.1,80.0,1.32,9800.0
115,38,bg,S10bg,2016-02-12,15:32,35.6,80.0,0.606,9800.0
116,38,bg,S11bg,2016-02-12,15:32,39.8,80.0,0.578,9800.0
117,38,bg,S12bg,2016-02-12,15:32,47.4,80.0,0.704,9800.0
118,38,bg,S13bg,2016-02-12,15:32,34.3,80.0,0.526,9800.0
